run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_identity	category
chr14_homolog_run0039	chr14	4312000	4580000	chr14	h1	PAN011#joint#h1_chr14	4226097	4494102	268000	268000	268005	134	0.999979	homologous_same_chrom
chrX_homolog_run2637	chrX	87810000	88076000	chrX	h1	PAN011#joint#h1_chrX	87772446	88038446	266000	266000	266000	133	1.000000	homologous_same_chrom
chr2_homolog_run2634	chr2	133910000	134172000	chr2	h2	PAN011#joint#h2_chr2	133958093	134220095	262000	262000	262002	131	0.999992	homologous_same_chrom
chr21_homolog_run0108	chr21	3728000	3990000	chr21	h1	PAN011#joint#h1_chr21	3612162	3874165	262000	262000	262003	131	0.999990	homologous_same_chrom
chr2_homolog_run1743	chr2	90042000	90302000	chr2	h2	PAN011#joint#h2_chr2	90091947	90351951	260000	260000	260004	130	0.999981	homologous_same_chrom
chr2_homolog_run1731	chr2	89464000	89722000	chr2	h2	PAN011#joint#h2_chr2	89513936	89771942	258000	258000	258006	129	0.999985	homologous_same_chrom
chr22_homolog_run0089	chr22	12150000	12406000	chr22	h2	PAN011#joint#h2_chr22	12960638	13216638	256000	256000	256000	128	0.999984	homologous_same_chrom
chr13_homolog_run0111	chr13	5932000	6180000	chr13	h1	PAN011#joint#h1_chr13	7149150	7397217	248000	248000	248067	124	0.998294	homologous_same_chrom
chrX_homolog_run2657	chrX	89558000	89802000	chrX	h1	PAN011#joint#h1_chrX	89520449	89764449	244000	244000	244000	122	1.000000	homologous_same_chrom
chr9_homolog_run2960	chr9	135962000	136204000	chr9	h2	PAN011#joint#h2_chr9	133496041	133738036	242000	242000	241995	121	0.998561	homologous_same_chrom
chr22_homolog_run0091	chr22	12408000	12642000	chr22	h2	PAN011#joint#h2_chr22	13218639	13452642	234000	234000	234003	117	0.999994	homologous_same_chrom
chr21_homolog_run0113	chr21	4702000	4930000	chr21	h1	PAN011#joint#h1_chr21	4586166	4814166	228000	228000	228000	114	0.999996	homologous_same_chrom
chr15_homolog_run0018	chr15	4958000	5182000	chr15	h2	PAN011#joint#h2_chr15	4951326	5175391	224000	224000	224065	112	0.999853	homologous_same_chrom
chr15_homolog_run0023	chr15	5336000	5560000	chr15	h2	PAN011#joint#h2_chr15	5329325	5553327	224000	224000	224002	112	0.999991	homologous_same_chrom
chr14_homolog_run0067	chr14	6752000	6974000	chr14	h1	PAN011#joint#h1_chr14	6666104	6888104	222000	222000	222000	111	1.000000	homologous_same_chrom
chr21_homolog_run0081	chr21	2650000	2868000	chr21	h1	PAN011#joint#h1_chr21	2651806	2869806	218000	218000	218000	109	1.000000	homologous_same_chrom
chr14_homolog_run0063	chr14	6478000	6694000	chr14	h1	PAN011#joint#h1_chr14	6392104	6608104	216000	216000	216000	108	1.000000	homologous_same_chrom
chr4_homolog_run1145	chr4	49338000	49552000	chr4	h2	PAN011#joint#h2_chr4	49127092	49341092	214000	214000	214000	107	1.000000	homologous_same_chrom
chr14_homolog_run0004	chr14	382000	594000	chr14	h1	PAN011#joint#h1_chr14	386295	598299	212000	212000	212004	106	0.999986	homologous_same_chrom
chr14_homolog_run0058	chr14	6146000	6356000	chr14	h1	PAN011#joint#h1_chr14	6060104	6270104	210000	210000	210000	105	1.000000	homologous_same_chrom
chr14_homolog_run0085	chr14	9792000	10002000	chr14	h1	PAN011#joint#h1_chr14	9706117	9916118	210000	210000	210001	105	0.999998	homologous_same_chrom
chr15_homolog_run0066	chr15	12740000	12948000	chr15	h2	PAN011#joint#h2_chr15	12733334	12941334	208000	208000	208000	104	1.000000	homologous_same_chrom
chr20_homolog_run0680	chr20	30042000	30246000	chr20	h1	PAN011#joint#h1_chr20	30032918	30236918	204000	204000	204000	102	0.999995	homologous_same_chrom
chr21_homolog_run0117	chr21	5936000	6136000	chr21	h2	PAN011#joint#h2_chr21	6896438	7096277	200000	200000	199839	100	0.996246	homologous_same_chrom
chr15_homolog_run0081	chr15	13434000	13628000	chr15	h2	PAN011#joint#h2_chr15	13427334	13621334	194000	194000	194000	97	1.000000	homologous_same_chrom
chr14_homolog_run0082	chr14	9534000	9726000	chr14	h1	PAN011#joint#h1_chr14	9448115	9640117	192000	192000	192002	96	0.999995	homologous_same_chrom
chr14_homolog_run0119	chr14	14612000	14804000	chr14	h1	PAN011#joint#h1_chr14	14530225	14722226	192000	192000	192001	96	0.999997	homologous_same_chrom
chr13_homolog_run0004	chr13	488000	678000	chr13	h2	PAN011#joint#h2_chr13	488291	678294	190000	190000	190003	95	0.999992	homologous_same_chrom
chr5_homolog_run1181	chr5	51876000	52064000	chr5	h2	PAN011#joint#h2_chr5	51662529	51850532	188000	188000	188003	94	0.999992	homologous_same_chrom
chr22_homolog_run0050	chr22	4676000	4864000	chr22	h2	PAN011#joint#h2_chr22	5482425	5670429	188000	188000	188004	94	0.999989	homologous_same_chrom
chr1_homolog_run3155	chr1	147382000	147568000	chr1	h2	PAN011#joint#h2_chr1	147338545	147524548	186000	186000	186003	93	0.999992	homologous_same_chrom
chr1_homolog_run3156	chr1	147572000	147750000	chr1	h2	PAN011#joint#h2_chr1	147528548	147706551	178000	178000	178003	89	0.999992	homologous_same_chrom
chr2_homolog_run1763	chr2	91520000	91698000	chr2	h2	PAN011#joint#h2_chr2	91569965	91747966	178000	178000	178001	89	0.999992	homologous_same_chrom
chr15_homolog_run0080	chr15	13250000	13426000	chr15	h2	PAN011#joint#h2_chr15	13243333	13419334	176000	176000	176001	88	0.999997	homologous_same_chrom
chr21_homolog_run0111	chr21	4524000	4700000	chr21	h1	PAN011#joint#h1_chr21	4408165	4584166	176000	176000	176001	88	0.999997	homologous_same_chrom
chr1_homolog_run3064	chr1	143130000	143298000	chr1	h2	PAN011#joint#h2_chr1	143086479	143254487	168000	168000	168008	84	0.999976	homologous_same_chrom
chr14_homolog_run0135	chr14	15094000	15262000	chr14	h1	PAN011#joint#h1_chr14	15012234	15180234	168000	168000	168000	84	1.000000	homologous_same_chrom
chr22_homolog_run0080	chr22	8260000	8428000	chr22	h2	PAN011#joint#h2_chr22	9066441	9234441	168000	168000	168000	84	1.000000	homologous_same_chrom
chr1_homolog_run0001	chr1	4000	168000	chr1	h2	PAN011#joint#h2_chr1	39	163995	164000	164000	163956	82	0.999761	homologous_same_chrom
chr15_homolog_run0113	chr15	18186000	18350000	chr15	h2	PAN011#joint#h2_chr15	18169113	18333116	164000	164000	164003	82	0.999991	homologous_same_chrom
chr16_homolog_run1228	chr16	90342000	90502000	chr16	h2	PAN011#joint#h2_chr16	90343665	90503668	160000	160000	160003	80	0.999403	homologous_same_chrom
chr21_homolog_run0147	chr21	10236000	10396000	chr21	h1	PAN011#joint#h1_chr21	10111427	10271429	160000	160000	160002	80	0.999975	homologous_same_chrom
chr2_homolog_run2639	chr2	134356000	134514000	chr2	h2	PAN011#joint#h2_chr2	134404097	134562099	158000	158000	158002	79	0.999994	homologous_same_chrom
chr14_homolog_run0005	chr14	716000	874000	chr14	h1	PAN011#joint#h1_chr14	720299	878299	158000	158000	158000	79	0.999557	homologous_same_chrom
chr13_homolog_run0162	chr13	8000000	8156000	chr13	h1	PAN011#joint#h1_chr13	9188842	9344924	156000	156000	156082	78	0.998459	homologous_same_chrom
chr15_homolog_run0032	chr15	6762000	6916000	chr15	h2	PAN011#joint#h2_chr15	6755334	6909335	154000	154000	154001	77	0.999977	homologous_same_chrom
chr6_homolog_run1182	chr6	57670000	57822000	chr6	h2	PAN011#joint#h2_chr6	57670883	57822885	152000	152000	152002	76	0.999993	homologous_same_chrom
chr14_homolog_run0071	chr14	7192000	7344000	chr14	h1	PAN011#joint#h1_chr14	7106104	7258104	152000	152000	152000	76	1.000000	homologous_same_chrom
chr2_homolog_run2238	chr2	115534000	115684000	chr2	h2	PAN011#joint#h2_chr2	115581914	115731915	150000	150000	150001	75	0.999997	homologous_same_chrom
chr11_homolog_run1733	chr11	80126000	80276000	chr11	h2	PAN011#joint#h2_chr11	80083992	80233994	150000	150000	150002	75	0.999993	homologous_same_chrom
chr20_homolog_run0732	chr20	30966000	31114000	chr20	h1	PAN011#joint#h1_chr20	30956929	31104930	148000	148000	148001	74	0.999997	homologous_same_chrom
chrX_homolog_run2643	chrX	88964000	89112000	chrX	h1	PAN011#joint#h1_chrX	88926449	89074449	148000	148000	148000	74	1.000000	homologous_same_chrom
chr11_homolog_run1556	chr11	71202000	71346000	chr11	h2	PAN011#joint#h2_chr11	71159863	71303867	144000	144000	144004	72	0.999979	homologous_same_chrom
chr14_homolog_run0006	chr14	898000	1042000	chr14	h1	PAN011#joint#h1_chr14	902299	1046299	144000	144000	144000	72	1.000000	homologous_same_chrom
chr2_homolog_run1767	chr2	91798000	91940000	chr2	h2	PAN011#joint#h2_chr2	91847966	91989968	142000	142000	142002	71	0.999993	homologous_same_chrom
chr7_homolog_run0001	chr7	10000	152000	chr7	h1	PAN011#joint#h1_chr7	1750	143752	142000	142000	142002	71	0.999894	homologous_same_chrom
chr14_homolog_run0050	chr14	5114000	5256000	chr14	h1	PAN011#joint#h1_chr14	5028106	5170106	142000	142000	142000	71	1.000000	homologous_same_chrom
chr16_homolog_run0558	chr16	34114000	34256000	chr16	h2	PAN011#joint#h2_chr16	34113295	34255297	142000	142000	142002	71	0.999993	homologous_same_chrom
chr13_homolog_run0117	chr13	6520000	6660000	chr13	h1	PAN011#joint#h1_chr13	7710988	7851059	140000	140000	140071	70	0.998141	homologous_same_chrom
chr17_homolog_run0439	chr17	23196000	23336000	chr17	h1	PAN011#joint#h1_chr17	22748561	22888581	140000	140000	140020	70	0.997693	homologous_same_chrom
chr21_homolog_run0054	chr21	2050000	2190000	chr21	h1	PAN011#joint#h1_chr21	2051800	2191800	140000	140000	140000	70	0.999986	homologous_same_chrom
chr22_homolog_run0092	chr22	12644000	12784000	chr22	h2	PAN011#joint#h2_chr22	13454642	13594647	140000	140000	140005	70	0.999982	homologous_same_chrom
chr15_homolog_run0110	chr15	17962000	18100000	chr15	h2	PAN011#joint#h2_chr15	17945110	18083113	138000	138000	138003	69	0.999989	homologous_same_chrom
chrX_homolog_run4244	chrX	142144000	142282000	chrX	h1	PAN011#joint#h1_chrX	142106624	142244625	138000	138000	138001	69	0.999996	homologous_same_chrom
chr21_homolog_run0052	chr21	1866000	2002000	chr21	h1	PAN011#joint#h1_chr21	1867800	2003800	136000	136000	136000	68	1.000000	homologous_same_chrom
chr2_homolog_run1806	chr2	96698000	96830000	chr2	h2	PAN011#joint#h2_chr2	96745930	96877931	132000	132000	132001	66	0.999996	homologous_same_chrom
chr6_homolog_run0005	chr6	272000	404000	chr6	h2	PAN011#joint#h2_chr6	271960	403959	132000	132000	131999	66	0.999989	homologous_same_chrom
chr7_homolog_run2676	chr7	130460000	130592000	chr7	h2	PAN011#joint#h2_chr7	130708913	130840918	132000	132000	132005	66	0.999981	homologous_same_chrom
chr9_homolog_run0800	chr9	33686000	33818000	chr9	h2	PAN011#joint#h2_chr9	33688912	33820879	132000	132000	131967	66	0.997950	homologous_same_chrom
chr10_homolog_run1006	chr10	38626000	38758000	chr10	h1	PAN011#joint#h1_chr10	38620988	38752987	132000	132000	131999	66	0.999996	homologous_same_chrom
chr4_homolog_run3179	chr4	131880000	132010000	chr4	h2	PAN011#joint#h2_chr4	133015650	133145648	130000	130000	129998	65	0.999992	homologous_same_chrom
chr6_homolog_run0001	chr6	0	130000	chr6	h2	PAN011#joint#h2_chr6	2	129960	130000	130000	129958	65	0.999690	homologous_same_chrom
chr15_homolog_run0050	chr15	11906000	12036000	chr15	h2	PAN011#joint#h2_chr15	11899334	12029334	130000	130000	130000	65	1.000000	homologous_same_chrom
chr4_homolog_run0266	chr4	9400000	9528000	chr4	h1	PAN011#joint#h1_chr4	9396509	9524512	128000	128000	128003	64	0.999988	homologous_same_chrom
chr14_homolog_run0011	chr14	2334000	2462000	chr14	h1	PAN011#joint#h1_chr14	2338230	2466230	128000	128000	128000	64	1.000000	homologous_same_chrom
chr14_homolog_run0141	chr14	15336000	15464000	chr14	h1	PAN011#joint#h1_chr14	15254235	15382239	128000	128000	128004	64	0.999984	homologous_same_chrom
chr16_homolog_run0548	chr16	33820000	33948000	chr16	h2	PAN011#joint#h2_chr16	33819290	33947294	128000	128000	128004	64	0.999984	homologous_same_chrom
chr21_homolog_run0047	chr21	1280000	1408000	chr21	h1	PAN011#joint#h1_chr21	1281799	1409799	128000	128000	128000	64	1.000000	homologous_same_chrom
chr12_homolog_run1749	chr12	63680000	63804000	chr12	h2	PAN011#joint#h2_chr12	63480259	63604211	124000	124000	123952	62	0.997240	homologous_same_chrom
chr17_homolog_run1068	chr17	62870000	62994000	chr17	h1	PAN011#joint#h1_chr17	63791595	63915656	124000	124000	124061	62	0.998997	homologous_same_chrom
chr7_homolog_run1204	chr7	57824000	57946000	chr7	h2	PAN011#joint#h2_chr7	58073106	58195106	122000	122000	122000	61	1.000000	homologous_same_chrom
chr14_homolog_run0145	chr14	15472000	15594000	chr14	h1	PAN011#joint#h1_chr14	15390239	15512239	122000	122000	122000	61	1.000000	homologous_same_chrom
chr15_homolog_run0093	chr15	15280000	15402000	chr15	h2	PAN011#joint#h2_chr15	15263091	15385091	122000	122000	122000	61	1.000000	homologous_same_chrom
chr18_homolog_run0317	chr18	14760000	14882000	chr18	h1	PAN011#joint#h1_chr18	14764412	14886411	122000	122000	121999	61	0.997291	homologous_same_chrom
chr19_homolog_run0007	chr19	34000	156000	chr19	h1	PAN011#joint#h1_chr19	31082	153084	122000	122000	122002	61	0.999590	homologous_same_chrom
chr21_homolog_run0115	chr21	5032000	5152000	chr21	h1	PAN011#joint#h1_chr21	4916166	5036166	120000	120000	120000	60	1.000000	homologous_same_chrom
chr13_homolog_run0110	chr13	5812000	5930000	chr13	h1	PAN011#joint#h1_chr13	7029458	7147492	118000	118000	118034	59	0.998305	homologous_same_chrom
chr15_homolog_run0120	chr15	18434000	18552000	chr15	h2	PAN011#joint#h2_chr15	18417118	18535127	118000	118000	118009	59	0.999962	homologous_same_chrom
chr20_homolog_run0739	chr20	31512000	31630000	chr20	h1	PAN011#joint#h1_chr20	31502932	31620933	118000	118000	118001	59	0.999996	homologous_same_chrom
chr20_homolog_run0751	chr20	31872000	31990000	chr20	h1	PAN011#joint#h1_chr20	31862935	31980936	118000	118000	118001	59	0.999996	homologous_same_chrom
chr21_homolog_run0051	chr21	1482000	1600000	chr21	h1	PAN011#joint#h1_chr21	1483800	1601800	118000	118000	118000	59	1.000000	homologous_same_chrom
chr11_homolog_run1558	chr11	71362000	71478000	chr11	h2	PAN011#joint#h2_chr11	71319868	71435870	116000	116000	116002	58	0.999991	homologous_same_chrom
chr15_homolog_run0095	chr15	17720000	17836000	chr15	h2	PAN011#joint#h2_chr15	17703108	17819109	116000	116000	116001	58	0.999996	homologous_same_chrom
chrX_homolog_run2650	chrX	89220000	89336000	chrX	h1	PAN011#joint#h1_chrX	89182448	89298448	116000	116000	116000	58	1.000000	homologous_same_chrom
chr2_homolog_run1689	chr2	87872000	87986000	chr2	h2	PAN011#joint#h2_chr2	87921883	88035885	114000	114000	114002	57	0.999991	homologous_same_chrom
chr16_homolog_run0491	chr16	32588000	32702000	chr16	h2	PAN011#joint#h2_chr16	32587273	32701273	114000	114000	114000	57	1.000000	homologous_same_chrom
chr20_homolog_run0001	chr20	4000	118000	chr20	h1	PAN011#joint#h1_chr20	0	113851	114000	114000	113851	57	0.998783	homologous_same_chrom
chr13_homolog_run0129	chr13	6960000	7072000	chr13	h1	PAN011#joint#h1_chr13	8201941	8313755	112000	112000	111814	56	0.996186	homologous_same_chrom
chr16_homolog_run0545	chr16	33658000	33770000	chr16	h2	PAN011#joint#h2_chr16	33657287	33769289	112000	112000	112002	56	0.999991	homologous_same_chrom
chr9_homolog_run0008	chr9	80000	190000	chr9	h2	PAN011#joint#h2_chr9	77741	187672	110000	110000	109931	55	0.995529	homologous_same_chrom
chr22_homolog_run0072	chr22	6922000	7032000	chr22	h2	PAN011#joint#h2_chr22	7728435	7838437	110000	110000	110002	55	0.999991	homologous_same_chrom
chr13_homolog_run0197	chr13	11684000	11792000	chr13	h2	PAN011#joint#h2_chr13	12184720	12292719	108000	108000	107999	54	0.999995	homologous_same_chrom
chr15_homolog_run0010	chr15	2132000	2240000	chr15	h2	PAN011#joint#h2_chr15	2125324	2233325	108000	108000	108001	54	0.999884	homologous_same_chrom
chr21_homolog_run0145	chr21	10116000	10224000	chr21	h1	PAN011#joint#h1_chr21	9991425	10099426	108000	108000	108001	54	0.999995	homologous_same_chrom
chr1_homolog_run3025	chr1	141830000	141936000	chr1	h2	PAN011#joint#h2_chr1	141786454	141892458	106000	106000	106004	53	0.999981	homologous_same_chrom
chr1_homolog_run5380	chr1	241066000	241172000	chr1	h1	PAN011#joint#h1_chr1	240545035	240651036	106000	106000	106001	53	0.999995	homologous_same_chrom
chr9_homolog_run0315	chr9	14982000	15088000	chr9	h2	PAN011#joint#h2_chr9	14976362	15082273	106000	106000	105911	53	0.997312	homologous_same_chrom
chr11_homolog_run0002	chr11	100000	206000	chr11	h1	PAN011#joint#h1_chr11	98985	204985	106000	106000	106000	53	1.000000	homologous_same_chrom
chr13_homolog_run0179	chr13	10660000	10766000	chr13	h2	PAN011#joint#h2_chr13	11160710	11266711	106000	106000	106001	53	0.999995	homologous_same_chrom
chr14_homolog_run0015	chr14	2480000	2586000	chr14	h1	PAN011#joint#h1_chr14	2484230	2590233	106000	106000	106003	53	0.999986	homologous_same_chrom
chr1_homolog_run3046	chr1	142622000	142726000	chr1	h2	PAN011#joint#h2_chr1	142578469	142682471	104000	104000	104002	52	0.999990	homologous_same_chrom
chr4_homolog_run4477	chr4	189750000	189852000	chr4	h2	PAN011#joint#h2_chr4	190889524	190991524	102000	102000	102000	51	1.000000	homologous_same_chrom
chr11_homolog_run0056	chr11	3522000	3622000	chr11	h1	PAN011#joint#h1_chr11	3521093	3621095	100000	100000	100002	50	0.999990	homologous_same_chrom
chr7_homolog_run2023	chr7	99490000	99588000	chr7	h2	PAN011#joint#h2_chr7	99738599	99836599	98000	98000	98000	49	1.000000	homologous_same_chrom
chr8_homolog_run0001	chr8	2000	100000	chr8	h1	PAN011#joint#h1_chr8	831	98838	98000	98000	98007	49	0.999954	homologous_same_chrom
chr14_homolog_run0062	chr14	6378000	6476000	chr14	h1	PAN011#joint#h1_chr14	6292104	6390104	98000	98000	98000	49	1.000000	homologous_same_chrom
chr13_homolog_run0136	chr13	7434000	7530000	chr13	h1	PAN011#joint#h1_chr13	8623066	8719068	96000	96000	96002	48	0.997834	homologous_same_chrom
chr14_homolog_run0121	chr14	14812000	14908000	chr14	h1	PAN011#joint#h1_chr14	14730226	14826228	96000	96000	96002	48	0.999990	homologous_same_chrom
chr2_homolog_run1808	chr2	96926000	97020000	chr2	h2	PAN011#joint#h2_chr2	96973931	97067931	94000	94000	94000	47	1.000000	homologous_same_chrom
chr4_homolog_run1137	chr4	49126000	49220000	chr4	h2	PAN011#joint#h2_chr4	48915093	49009094	94000	94000	94001	47	0.999995	homologous_same_chrom
chr11_homolog_run0001	chr11	2000	96000	chr11	h1	PAN011#joint#h1_chr11	992	94985	94000	94000	93993	47	0.999952	homologous_same_chrom
chr15_homolog_run1733	chr15	98718000	98812000	chr15	h1	PAN011#joint#h1_chr15	96265349	96359349	94000	94000	94000	47	0.999957	homologous_same_chrom
chr17_homolog_run0487	chr17	30662000	30756000	chr17	h1	PAN011#joint#h1_chr17	30856888	30950889	94000	94000	94001	47	0.998452	homologous_same_chrom
chr13_homolog_run0001	chr13	12000	104000	chr13	h2	PAN011#joint#h2_chr13	12290	104290	92000	92000	92000	46	1.000000	homologous_same_chrom
chr14_homolog_run0053	chr14	5566000	5658000	chr14	h1	PAN011#joint#h1_chr14	5480107	5572108	92000	92000	92001	46	0.999995	homologous_same_chrom
chr4_homolog_run1146	chr4	49558000	49648000	chr4	h2	PAN011#joint#h2_chr4	49347092	49437092	90000	90000	90000	45	1.000000	homologous_same_chrom
chr7_homolog_run2936	chr7	144664000	144754000	chr7	h2	PAN011#joint#h2_chr7	144913084	145003085	90000	90000	90001	45	0.999994	homologous_same_chrom
chr13_homolog_run0164	chr13	8196000	8286000	chr13	h1	PAN011#joint#h1_chr13	9385460	9475473	90000	90000	90013	45	0.997973	homologous_same_chrom
chr15_homolog_run0133	chr15	18930000	19020000	chr15	h2	PAN011#joint#h2_chr15	18913131	19003134	90000	90000	90003	45	0.999983	homologous_same_chrom
chr18_homolog_run0316	chr18	14666000	14756000	chr18	h1	PAN011#joint#h1_chr18	14670351	14760414	90000	90000	90063	45	0.994635	homologous_same_chrom
chr22_homolog_run0064	chr22	6280000	6370000	chr22	h2	PAN011#joint#h2_chr22	7086434	7176434	90000	90000	90000	45	1.000000	homologous_same_chrom
chr1_homolog_run1879	chr1	83632000	83720000	chr1	h1	PAN011#joint#h1_chr1	83652064	83740064	88000	88000	88000	44	1.000000	homologous_same_chrom
chr2_homolog_run1807	chr2	96834000	96922000	chr2	h2	PAN011#joint#h2_chr2	96881931	96969931	88000	88000	88000	44	1.000000	homologous_same_chrom
chr3_homolog_run3570	chr3	134238000	134326000	chr3	h1	PAN011#joint#h1_chr3	134238762	134326765	88000	88000	88003	44	0.999983	homologous_same_chrom
